2.375842665962505406e-06,4.499999999999999660e-03
4.013523805653050093e-03,9.763157894736841647e-03
8.027545532429522859e-03,1.502631578947368277e-02
1.204070382315364750e-02,2.028947368421052735e-02
1.605429834303099060e-02,2.555263157894736847e-02
2.006821564038920383e-02,3.081578947368420959e-02
2.408163468625024867e-02,3.607894736842105071e-02
2.809484169767948597e-02,4.134210526315788836e-02
3.210820406492129880e-02,4.660526315789473295e-02
3.612825693562225077e-02,5.186842105263157754e-02
4.021670509488956685e-02,5.713157894736841519e-02
4.436950042410108680e-02,6.239473684210525978e-02
4.857074955709120290e-02,6.765789473684211131e-02
5.281115529409020209e-02,7.292105263157895589e-02
5.707638848632314715e-02,7.818421052631578660e-02
6.135899184732697409e-02,8.344736842105263119e-02
6.565736749928428873e-02,8.871052631578947578e-02
6.991575239486222393e-02,9.397368421052632037e-02
7.419599052449625531e-02,9.923684210526316496e-02
7.847597034461072096e-02,1.044999999999999957e-01
