6.873691445354768170e-02,-3.157894736842105365e-02
6.071411892311794761e-02,-2.736842105263158006e-02
5.456991697886058590e-02,-2.315789473684210648e-02
4.922086954119515856e-02,-1.894736842105263289e-02
4.482930169262004660e-02,-1.473684210526315930e-02
4.188335603089526904e-02,-1.052631578947368571e-02
3.952487077406852123e-02,-6.315789473684212119e-03
3.794294894283228858e-02,-2.105263157894741999e-03
3.675859429274301593e-02,2.105263157894735060e-03
3.647856704182578236e-02,6.315789473684212119e-03
3.705881407637450636e-02,1.052631578947368224e-02
4.242844474232313617e-02,1.473684210526315236e-02
4.588712849498968738e-02,1.894736842105262942e-02
4.890693700115410908e-02,2.315789473684210648e-02
5.239191936140011330e-02,2.736842105263157660e-02
6.018515725873795769e-02,3.157894736842104672e-02
6.524065405084393532e-02,3.578947368421051684e-02
7.068165947088125844e-02,4.000000000000000083e-02
